iter	RMSE
0	8.977892816
1	8.581123874
2	8.203374114
3	7.839331175
4	7.487180837
5	7.16714469
6	6.861068591
7	6.566675553
8	6.292736421
9	6.026364863
10	5.761950441
11	5.519623838
12	5.273078868
13	5.043918093
14	4.819340549
15	4.605612639
16	4.415901295
17	4.227004766
18	4.050642049
19	3.87563318
20	3.707914993
21	3.557804987
22	3.41119879
23	3.272780625
24	3.135621342
25	3.005098248
26	2.890836131
27	2.776354876
28	2.670068478
29	2.566561677
30	2.471033203
31	2.376499985
32	2.296357841
33	2.206753881
34	2.115807875
35	2.030330532
36	1.954093898
37	1.87792028
38	1.810304785
39	1.743928256
40	1.674701517
41	1.613257801
42	1.552425825
43	1.496079022
44	1.441958586
45	1.390218737
46	1.338030878
47	1.289696144
48	1.245406045
49	1.207625035
50	1.168844861
51	1.127483681
52	1.093625292
53	1.059906718
54	1.028761187
55	0.9953051966
56	0.9644440545
57	0.9340284054
58	0.905003004
59	0.8768923188
60	0.8534378404
61	0.8288915278
62	0.8068848255
63	0.7846363295
64	0.7627542278
65	0.7428247606
66	0.7239331671
67	0.7056974922
68	0.6878726994
69	0.6721982865
70	0.6562799773
71	0.6411141141
72	0.6279673245
73	0.6132384275
74	0.600049594
75	0.5879158043
76	0.5772475195
77	0.5662226959
78	0.5574060033
79	0.5473217862
80	0.5375758731
81	0.5280376663
82	0.5189463538
83	0.5104663284
84	0.5015648443
85	0.4940970001
86	0.4880612992
87	0.4811343523
88	0.473874441
89	0.4671656794
90	0.4607714493
91	0.4546674017
92	0.4487970712
93	0.4438939084
94	0.4381969122
95	0.4337331611
96	0.4285676078
97	0.4242955877
98	0.4190476181
99	0.4143621897
100	0.4097736724
101	0.4062753866
102	0.4025228954
103	0.3985189726
104	0.3954651304
105	0.3920870652
106	0.3891971529
107	0.3865648309
108	0.3836624775
109	0.3803889156
110	0.3773683748
111	0.3747699075
112	0.3716151313
113	0.3684262512
114	0.3666034057
115	0.3641798951
116	0.3613617442
117	0.3590151284
118	0.3572116019
119	0.3545930135
120	0.3528768907
121	0.3510936119
122	0.3494996974
123	0.3474295382
124	0.3454243989
125	0.3435316335
126	0.3414414373
127	0.3391783362
128	0.3364731589
129	0.3347460987
130	0.3330895129
131	0.3310488792
132	0.3298013148
133	0.3281276465
134	0.3264251376
135	0.3251276933
136	0.3233885693
137	0.321423287
138	0.3198110952
139	0.318014149
140	0.3166600483
141	0.315538229
142	0.3141202253
143	0.3126147636
144	0.3111672323
145	0.3097404623
146	0.3083870372
147	0.3070332377
148	0.3056747241
149	0.304722903
150	0.3036919305
151	0.3023569332
152	0.301276589
153	0.2996541166
154	0.2986964874
155	0.2973887924
156	0.2963916754
157	0.2953479951
158	0.2945612043
159	0.2936811313
160	0.29267113
161	0.2919220723
162	0.2911751938
163	0.2899664927
164	0.2892050546
165	0.2878138919
166	0.2868935507
167	0.2860304314
168	0.2851246333
169	0.2842841495
170	0.2833287214
171	0.2821587551
172	0.2811574557
173	0.2801949644
174	0.2794815913
175	0.2780973078
176	0.2771413236
177	0.2765165683
178	0.275826331
179	0.2750751381
180	0.2742570085
181	0.2736087698
182	0.272966416
183	0.2716673251
184	0.271051506
185	0.2700674049
186	0.2687543547
187	0.2678905426
188	0.2671593654
189	0.2660637301
190	0.2652884426
191	0.2640952391
192	0.2634733794
193	0.2628106926
194	0.2619135419
195	0.2611050272
196	0.2600797231
197	0.2594103181
198	0.2586441395
199	0.2580756568
200	0.2574246395
201	0.2564091252
202	0.2557725089
203	0.2550875654
204	0.2542713277
205	0.2534865795
206	0.2528575056
207	0.2520756169
208	0.2514765505
209	0.2509646849
210	0.2503131053
211	0.2496735998
212	0.2492587906
213	0.2483592536
214	0.2475438437
215	0.2470175742
216	0.246466383
217	0.245800356
218	0.2450497323
219	0.2445371093
220	0.2440050739
221	0.2434529705
222	0.2428278786
223	0.2422997342
224	0.2416889606
225	0.2408299583
226	0.2403207899
227	0.2394843761
228	0.2389473188
229	0.2382926066
230	0.2376110886
231	0.2368655304
232	0.2361500378
233	0.2355883961
234	0.2351076771
235	0.2346636407
236	0.2342469986
237	0.2338744395
238	0.2333909815
239	0.2329572995
240	0.2326089601
241	0.2322045696
242	0.2318212185
243	0.2314776355
244	0.230976345
245	0.2304554841
246	0.2298867344
247	0.2294239792
248	0.2290542007
249	0.2283176975
250	0.2276832619
251	0.2271364174
252	0.2266364519
253	0.2262828955
254	0.2260384141
255	0.225397002
256	0.2248636298
257	0.2244495102
258	0.224160685
259	0.2239162145
260	0.2235594813
261	0.2231603828
262	0.2227582263
263	0.2222091475
264	0.2218269886
265	0.2213997086
266	0.2210219934
267	0.2208102955
268	0.2203659336
269	0.2197853404
270	0.2193607303
271	0.2190026655
272	0.2184395133
273	0.2182111065
274	0.2180012292
275	0.2173768847
276	0.2168634025
277	0.2166107504
278	0.2164600563
279	0.2160711791
280	0.2156420053
281	0.2152684965
282	0.2148309678
283	0.2142679833
284	0.214078149
285	0.2137720554
286	0.2135319301
287	0.2130771506
288	0.2128731702
289	0.2125146025
290	0.2122109924
291	0.2118431865
292	0.2115326879
293	0.2112098524
294	0.2108097791
295	0.2103124362
296	0.2098813693
297	0.2093892356
298	0.2091448409
299	0.2089844162
300	0.208681122
301	0.2083838204
302	0.2077431606
303	0.2073643516
304	0.2066582135
305	0.2064369252
306	0.2062074487
307	0.2059961147
308	0.2058945145
309	0.2056707626
310	0.2055702212
311	0.205310537
312	0.2048456513
313	0.204499992
314	0.2043350558
315	0.2038721711
316	0.2034226011
317	0.2028899969
318	0.2024386938
319	0.2020857148
320	0.2019136826
321	0.2014554556
322	0.2011346562
323	0.2009546966
324	0.200714052
325	0.2005155393
326	0.2001450943
327	0.1998065243
328	0.1994887696
329	0.1991009344
330	0.1989210697
331	0.1984926453
332	0.1982323151
333	0.197929864
334	0.1976045508
335	0.1973093756
336	0.1969161763
337	0.196366203
338	0.1960686056
339	0.1957099278
340	0.1954020154
341	0.1951716564
342	0.1948939699
343	0.1945366103
344	0.1941067397
345	0.1938890415
346	0.1936616331
347	0.1934069036
348	0.1930295372
349	0.1927651143
350	0.1924971395
351	0.1922219353
352	0.1918585572
353	0.1915284516
354	0.1912602318
355	0.1909342423
356	0.1906827069
357	0.190466898
358	0.1902426895
359	0.1899805335
360	0.1896942878
361	0.1894714938
362	0.1892474148
363	0.1890491669
364	0.1888422482
365	0.1885733951
366	0.1882812509
367	0.1880690075
368	0.1874498652
369	0.1872323036
370	0.1869674181
371	0.1866991542
372	0.1865326226
373	0.1863008245
374	0.186115129
375	0.1859017552
376	0.185653695
377	0.1853204705
378	0.1850658448
379	0.1847005127
380	0.184434547
381	0.1842372579
382	0.1839865518
383	0.1837412459
384	0.1834572593
385	0.1833019239
386	0.18319189
387	0.1827613388
388	0.1825805846
389	0.1822662339
390	0.1820512957
391	0.1818183222
392	0.1815946538
393	0.1813185592
394	0.1811261693
395	0.180839169
396	0.1805403152
397	0.180421619
398	0.180299164
399	0.1800468535
400	0.1798233986
401	0.1795757333
402	0.1794066749
403	0.1792397634
404	0.1790274311
405	0.1788852262
406	0.1786622124
407	0.1785266446
408	0.1784577938
409	0.1780756444
410	0.1778619632
411	0.1775842807
412	0.1775032287
413	0.1772561985
414	0.1770788691
415	0.1768569918
416	0.1766177709
417	0.1764055458
418	0.1761226899
419	0.1759142752
420	0.1757479274
421	0.1755630967
422	0.1753740097
423	0.1751724536
424	0.1751018744
425	0.1749880584
426	0.1747527118
427	0.1745850736
428	0.1743006142
429	0.1741812975
430	0.1739763985
431	0.1739003416
432	0.1737423646
433	0.1736795141
434	0.1736274313
435	0.1735582405
436	0.1733684375
437	0.1729914799
438	0.17289306
439	0.1725922075
440	0.1723486207
441	0.1720970323
442	0.1720388471
443	0.1718249
444	0.1715322621
445	0.1713272003
446	0.171132975
447	0.1709734658
448	0.1707512362
449	0.1706951424
450	0.1705676833
451	0.1705338257
452	0.1703374602
453	0.1702002671
454	0.1701375953
455	0.1699792079
456	0.1698465356
457	0.1696016378
458	0.1695061117
459	0.1693356793
460	0.1691520736
461	0.1689522851
462	0.1687142731
463	0.168519229
464	0.1683642283
465	0.1681723148
466	0.1680202583
467	0.1678651121
468	0.1676642506
469	0.1674225342
470	0.1670964492
471	0.1669953579
472	0.1668276304
473	0.166613445
