iter	Passed	Remaining
0	0	702
1	1	617
2	1	583
3	2	565
4	2	555
5	3	554
6	3	546
7	4	542
8	4	536
9	5	540
10	6	546
11	6	547
12	7	547
13	7	548
14	8	542
15	8	538
16	9	536
17	9	533
18	10	530
19	10	529
20	11	528
21	11	526
22	12	524
23	13	537
24	13	537
25	14	544
26	15	542
27	15	542
28	16	541
29	16	539
30	17	537
31	17	535
32	18	535
33	18	533
34	19	531
35	19	530
36	20	530
37	20	529
38	21	529
39	22	528
40	22	527
41	23	525
42	23	524
43	24	523
44	24	522
45	25	524
46	25	523
47	26	523
48	26	522
49	27	522
50	28	521
51	28	519
52	29	518
53	29	516
54	30	515
55	30	514
56	31	513
57	31	513
58	32	512
59	32	511
60	33	511
61	33	510
62	34	509
63	34	508
64	35	507
65	35	507
66	36	506
67	36	505
68	37	504
69	37	503
70	38	503
71	39	503
72	39	503
73	40	503
74	40	502
75	41	501
76	41	501
77	42	500
78	42	499
79	43	498
80	43	497
81	44	496
82	44	497
83	45	496
84	46	495
85	46	494
86	47	494
87	47	494
88	48	493
89	48	492
90	49	491
91	49	490
92	50	490
93	50	489
94	51	489
95	51	488
96	52	488
97	53	488
98	53	489
99	54	488
100	54	487
101	55	487
102	55	487
103	56	486
104	57	486
105	57	485
106	58	484
107	58	484
108	59	483
109	60	485
110	60	485
111	61	484
112	61	483
113	62	483
114	62	482
115	63	481
116	63	481
117	64	480
118	64	479
119	65	479
120	65	478
121	66	478
122	67	477
123	67	477
124	68	477
125	68	476
126	69	475
127	69	474
128	70	474
129	70	473
130	71	474
131	72	474
132	72	473
133	73	473
134	73	473
135	74	472
136	74	471
137	75	471
138	76	471
139	76	470
140	77	469
141	77	469
142	78	468
143	78	468
144	79	468
145	80	468
146	80	468
147	81	468
148	81	467
149	82	466
150	83	467
151	83	466
152	84	466
153	84	465
154	85	465
155	85	464
156	86	464
157	87	463
158	87	463
159	88	462
160	88	462
161	89	461
162	89	460
163	90	460
164	91	461
165	91	461
166	92	461
167	93	461
168	93	461
169	94	460
170	94	460
171	95	459
172	95	458
173	96	458
174	97	457
175	97	456
176	98	456
177	98	455
178	99	455
179	99	454
180	100	454
181	100	453
182	101	453
183	102	452
184	102	451
185	103	450
186	103	450
187	104	449
188	104	449
189	105	448
190	105	448
191	106	447
192	106	447
193	107	446
194	107	445
195	108	444
196	108	444
197	109	443
198	110	442
199	110	442
200	111	441
201	111	441
202	112	440
203	112	440
204	113	439
205	113	439
206	114	438
207	115	437
208	115	437
209	115	436
